"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"422","RT @donhizzybaba: Me everytime <U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D> https://t.co/aNghy2LmIh",FALSE,0,NA,2023-04-28 09:10:08,FALSE,NA,"1651876441523363842",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ola_bode42",439,TRUE,FALSE,NA,NA
"423","@jaredadcrypto My new name after winning this game
Ola coded Pablo Escobar btc Elon musk Jeff bill gate",FALSE,2,"jaredadcrypto",2023-04-28 09:10:03,FALSE,"1651876042443718660","1651876421407498241","811288105","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","oolacodedd1",0,FALSE,FALSE,NA,NA
"424","RT @KvngWhillz: Wallpapers of your favorite footballers (A thread)<U+26BD><U+FE0F><U+0001F92F>

Messi and Ronaldo https://t.co/PYPkzoWVro",FALSE,0,NA,2023-04-28 09:09:57,FALSE,NA,"1651876393628712963",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ola_bode42",591,TRUE,FALSE,NA,NA
"425","@instablog9ja This one is not Alfa, na babalawo <U+0001F602> A good Alfa will never make friends with a fraudster let alone he… https://t.co/MM7pMnV5Fv",FALSE,5,"instablog9ja",2023-04-28 09:09:57,TRUE,"1651862029324505088","1651876392911470592","754393222563102720","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ola_Aguero",0,FALSE,FALSE,NA,NA
"426","@Ola_Crrypt I will be there!!",FALSE,1,"Ola_Crrypt",2023-04-28 09:09:53,FALSE,"1651874340693057536","1651876376994095105","1506909333740826628","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NotyDan",0,FALSE,FALSE,NA,NA
"427","This is very unethical and unprofessional on their behalf because its a very small issue amd they have been draggin… https://t.co/7LO5THrLUc",FALSE,0,NA,2023-04-28 09:09:43,TRUE,NA,"1651876336057868289",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DrAPpy20",0,FALSE,FALSE,NA,NA
"428","Join us in wishing our amazing mentors and brilliant writers, Ola W. Halim and Seun Lari-Williams, a happy birthday… https://t.co/bcnPazh72s",FALSE,5,NA,2023-04-28 09:09:33,TRUE,NA,"1651876294513008640",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SprinngLM",0,FALSE,FALSE,NA,NA
"429","@iamdlaw2 i give kudos to the police for arresting your Lord and savior MNK and he is cooling his hill in our darli… https://t.co/o0C8r6tunu",FALSE,0,"iamdlaw2",2023-04-28 09:09:33,TRUE,"1651552227184582656","1651876292751491073","750242100336287745","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ola_alademuniru",0,FALSE,FALSE,NA,NA
"430","RT @SophieRammal_: <U+2728>Afro Barbie <U+2728><U+0001F493> https://t.co/ya15LZhttS",FALSE,0,NA,2023-04-28 09:09:29,FALSE,NA,"1651876278083940352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tinashe_ola",344,TRUE,FALSE,NA,NA
"431","Nah stand and Chop everybody Dey no, Don jazzy’s own nah fall and chop <U+0001F602> https://t.co/bINSAfAcUP",FALSE,1,NA,2023-04-28 09:09:27,FALSE,NA,"1651876270815297537",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ola_creativity",0,FALSE,FALSE,NA,NA
